street1,street2
Lawrence Street,Myrtle Avenue
Lawrence Street,Tech Place
Lawrence Street,Willoughby Street
Lee Avenue,Penn Street
Lee Avenue,Rodney Street
Lee Avenue,Roebling Street
Lee Avenue,Ross Street
Lee Avenue,Rutledge Street
Lee Avenue,Taylor Street
Lee Avenue,Williamsburg Street East
Lee Avenue,Williamsburg Street West
Lee Avenue,Wilson Street
Lefferts Place,Saint James Place
Little Nassau Street,Taaffe Place
Little Street,Plymouth Street
Livingston Street,Nevins Street
Livingston Street,Smith Street
Lynch Street,Wallabout Street
Main Street,Plymouth Street
Main Street,Water Street
Manhattan Bridge,Manhattan Bridge lower level
Marcy Avenue,Rodney Street
Marcy Avenue,South 4th Street
Marcy Avenue,South 5th Street
Marcy Avenue,South 9th Street
Marcy Avenue,Williamsburg Street West
Middagh Street,Willow Street
Monroe Place,Pierrepont Street
Montague Street,Montague Terrace
Montague Street,Pierrepont Place
